cell_id,family,held_out,severity,asd_policy,seed,detectors,t_rel,params_json,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,oracle_lo,oracle_med,oracle_hi,oracle_recovers,detector_n_gates,detector_fired,oracle_only_recovery,residual_power_H1,residual_power_L1,error,elapsed_s,gs_label,gs_event_time,gs_snr,gs_duration,gs_confidence,excerpt_window_s,severity_mode,scale_k,native_snr,injected_snr_w,injected_inband_rms_ratio,is_noise_control,gates_json,gs_snr_bin,injected_rho_w
65,Koi_Fish,True,nan,stationary,0,H1,-0.6186197138535248,"{""gs_event_time"": 1239024432.76172, ""window_s"": 3.5, ""mode"": ""native""}",22.677456855773926,35.2423095703125,46.22076148986817,False,18.722802543640135,34.77340507507324,45.64502925872802,True,16.66972236633301,32.15986633300781,43.851840782165525,True,1,True,False,0.049519123638611585,0.0,,4.895,Koi_Fish,1239024432.76172,92.556282043457,1.75,1.0,3.5,native,41.49471758796397,98.70593736308582,98.70593736308581,0.0363818582186309,False,"[[-1.463, 0.213]]","[30,100)",106.43668036892798
66,Koi_Fish,True,nan,stationary,0,H1,-0.6466285464123002,"{""gs_event_time"": 1238769669.81836, ""window_s"": 2.5, ""mode"": ""native""}",13.547705459594727,22.08238410949707,44.5772066116333,False,18.867915534973143,33.71307182312012,44.87235507965088,True,20.094360542297363,33.96275329589844,46.73847999572754,True,1,True,False,0.04705947687373104,0.0,,4.969,Koi_Fish,1238769669.81836,73.236442565918,1.25,1.0,2.5,native,38.610510036573494,65.90903087786225,65.90903087786224,0.018907062707424756,False,"[[-1.463, 0.088]]","[30,100)",71.0783275491486
67,Koi_Fish,True,nan,stationary,0,H1,-0.3815283760639462,"{""gs_event_time"": 1238769669.81836, ""window_s"": 2.5, ""mode"": ""native""}",12.794819259643555,19.757192611694336,40.03943691253662,False,18.39325408935547,32.96359062194824,44.82251815795898,True,21.003623008728027,34.36245918273926,45.37041816711426,True,1,True,False,0.04859621674826977,0.0,,5.25,Koi_Fish,1238769669.81836,73.236442565918,1.25,1.0,2.5,native,38.610510036573494,65.90903087786225,65.90903087786224,0.018907062707424756,False,"[[-1.213, 0.338]]","[30,100)",71.0783275491486
68,Koi_Fish,True,nan,stationary,0,H1,-1.3620808400629139,"{""gs_event_time"": 1238769669.81836, ""window_s"": 2.5, ""mode"": ""native""}",17.661831092834472,32.555185317993164,45.89343852996826,False,14.792045974731446,29.487156867980957,44.61054954528809,True,14.864882278442384,29.20259189605713,44.02895927429199,True,1,True,False,0.05064812064251112,0.0,,5.128,Koi_Fish,1238769669.81836,73.236442565918,1.25,1.0,2.5,native,38.610510036573494,65.90903087786225,65.90903087786224,0.018907062707424756,False,"[[-2.0, -0.537]]","[30,100)",71.0783275491486
69,Koi_Fish,True,nan,stationary,0,H1,-0.6251818595084287,"{""gs_event_time"": 1238208337.97461, ""window_s"": 2.5, ""mode"": ""native""}",13.802049255371093,23.972159385681152,44.21165790557861,False,18.619350051879884,33.82926368713379,45.183250427246094,True,20.641168785095214,33.91681671142578,46.03836612701416,True,1,True,False,0.04951912332402352,0.0,,5.124,Koi_Fish,1238208337.97461,67.9936904907227,1.25,1.0,2.5,native,47.99269146326044,103.0400710164642,103.0400710164642,0.02856447386440982,False,"[[-1.463, 0.213]]","[30,100)",111.1742040535536
70,Koi_Fish,True,nan,stationary,0,H1,-0.38709128565052814,"{""gs_event_time"": 1238208337.97461, ""window_s"": 2.5, ""mode"": ""native""}",16.6218168258667,32.455081939697266,46.30084495544433,False,18.544677352905275,33.31092834472656,44.7109224319458,True,16.403803062438964,32.11704444885254,45.45233154296875,True,1,True,False,0.05154011910928001,0.0,,5.208,Koi_Fish,1238208337.97461,67.9936904907227,1.25,1.0,2.5,native,47.99269146326044,103.0400710164642,103.0400710164642,0.02856447386440982,False,"[[-1.213, 0.463]]","[30,100)",111.1742040535536
71,Koi_Fish,True,nan,stationary,0,H1,-0.3384885720904244,"{""gs_event_time"": 1238208337.97461, ""window_s"": 2.5, ""mode"": ""native""}",22.905907440185548,36.077903747558594,44.9964506149292,False,18.87993793487549,33.097829818725586,45.1910701751709,True,18.75230255126953,33.54074668884277,45.43682384490967,True,1,True,False,0.05154011910940919,0.0,,5.275,Koi_Fish,1238208337.97461,67.9936904907227,1.25,1.0,2.5,native,47.99269146326044,103.0400710164642,103.0400710164642,0.02856447386440982,False,"[[-1.213, 0.463]]","[30,100)",111.1742040535536
72,Koi_Fish,True,nan,stationary,0,H1,-1.4823524340415568,"{""gs_event_time"": 1239363943.68945, ""window_s"": 3.0, ""mode"": ""native""}",21.93236255645752,35.02838134765625,45.20292453765869,False,16.200890159606935,32.210378646850586,45.13877773284912,True,18.577991104125978,33.3220157623291,45.956391143798825,True,1,True,False,0.0476959975160322,0.0,,5.049,Koi_Fish,1239363943.68945,60.1538200378418,1.5,1.0,3.0,native,43.03681485351636,76.02663164490761,76.0266316449076,0.029307228998256142,False,"[[-2.0, -0.787]]","[30,100)",81.95867414650309
73,Koi_Fish,True,nan,stationary,0,H1,-0.4636318917053091,"{""gs_event_time"": 1239363943.68945, ""window_s"": 3.0, ""mode"": ""native""}",20.88021049499512,34.586753845214844,44.78709831237793,False,17.810118675231934,33.1571044921875,45.365698623657224,True,15.90916633605957,28.724949836730957,45.709106636047366,True,1,True,False,0.0485962169781422,0.0,,5.011,Koi_Fish,1239363943.68945,60.1538200378418,1.5,1.0,3.0,native,43.03681485351636,76.02663164490761,76.0266316449076,0.029307228998256142,False,"[[-1.213, 0.338]]","[30,100)",81.95867414650309
74,Koi_Fish,True,nan,stationary,0,H1,-0.3225659519203869,"{""gs_event_time"": 1239363943.68945, ""window_s"": 3.0, ""mode"": ""native""}",17.405712509155272,32.712080001831055,44.71737899780273,False,18.6292875289917,34.11219024658203,44.584102630615234,True,16.16623420715332,31.53785991668701,45.04484558105469,True,1,True,False,0.05006117634528972,0.0,,5.14,Koi_Fish,1239363943.68945,60.1538200378418,1.5,1.0,3.0,native,43.03681485351636,76.02663164490761,76.0266316449076,0.029307228998256142,False,"[[-1.088, 0.463]]","[30,100)",81.95867414650309
75,Koi_Fish,True,nan,stationary,0,H1,-0.3513477844668438,"{""gs_event_time"": 1238919051.74414, ""window_s"": 3.0, ""mode"": ""native""}",18.951585960388183,32.39709663391113,45.88579349517822,False,17.98976078033447,34.40723419189453,44.86501331329346,True,19.686452674865723,34.777278900146484,45.21056480407715,True,1,True,False,0.05006117618949024,0.0,,5.038,Koi_Fish,1238919051.74414,89.8646469116211,1.5,0.9999998807907104,3.0,native,38.25298076917112,80.64175692943708,80.64175692943708,0.02014791845479514,False,"[[-1.088, 0.463]]","[30,100)",87.04086864609245
76,Koi_Fish,True,nan,stationary,0,H1,-1.3214831853210025,"{""gs_event_time"": 1238919051.74414, ""window_s"": 3.0, ""mode"": ""native""}",16.226665496826172,28.184409141540527,45.88187484741211,False,15.40873737335205,31.220521926879883,44.52991981506347,True,23.461383152008057,35.55985641479492,45.301445198059085,True,1,True,False,0.05064812066106096,0.0,,5.382,Koi_Fish,1238919051.74414,89.8646469116211,1.5,0.9999998807907104,3.0,native,38.25298076917112,80.64175692943708,80.64175692943708,0.02014791845479514,False,"[[-2.0, -0.537]]","[30,100)",87.04086864609245
77,Koi_Fish,True,nan,stationary,0,H1,-0.3328454234124541,"{""gs_event_time"": 1238919051.74414, ""window_s"": 3.0, ""mode"": ""native""}",23.656024837493895,35.19607353210449,44.89171085357666,False,18.48214645385742,33.686885833740234,44.94603576660156,True,17.616816902160643,32.27132034301758,45.004516792297366,True,1,True,False,0.05006117619624612,0.0,,5.098,Koi_Fish,1238919051.74414,89.8646469116211,1.5,0.9999998807907104,3.0,native,38.25298076917112,80.64175692943708,80.64175692943708,0.02014791845479514,False,"[[-1.088, 0.463]]","[30,100)",87.04086864609245
78,Koi_Fish,True,nan,stationary,0,H1,-0.4320773331353753,"{""gs_event_time"": 1239171477.9707, ""window_s"": 3.5, ""mode"": ""native""}",9.96458854675293,10.003921508789062,10.10313549041748,True,16.712643814086913,33.83868598937988,45.04095268249512,True,14.668007278442383,27.504852294921875,44.34258060455322,True,1,True,False,0.05309945694491311,0.0,,5.042,Koi_Fish,1239171477.9707,171.420715332031,1.75,1.0,3.5,native,48.499055365287596,219.79068326291548,219.7906832629155,0.04878140504925737,False,"[[-1.338, 0.463]]","[100,300)",237.150916587547
79,Koi_Fish,True,nan,stationary,0,H1,-0.5131514069483155,"{""gs_event_time"": 1239171477.9707, ""window_s"": 3.5, ""mode"": ""native""}",9.977398490905761,10.057044982910156,10.314620780944825,True,19.085429382324218,32.688270568847656,44.26651439666748,True,14.503223037719726,24.092320442199707,45.592156410217285,True,1,True,False,0.050298263627668975,0.0,,5.048,Koi_Fish,1239171477.9707,171.420715332031,1.75,1.0,3.5,native,48.499055365287596,219.79068326291548,219.7906832629155,0.04878140504925737,False,"[[-1.338, 0.338]]","[100,300)",237.150916587547
80,Koi_Fish,True,nan,stationary,0,H1,-0.9240144914306014,"{""gs_event_time"": 1239171477.9707, ""window_s"": 3.5, ""mode"": ""native""}",10.18967227935791,11.800291061401367,16.25832996368408,False,17.716022300720216,33.60125160217285,45.68490200042724,True,23.787278652191162,34.79502868652344,44.774023628234865,True,1,True,False,0.05251479592577345,0.0,,5.246,Koi_Fish,1239171477.9707,171.420715332031,1.75,1.0,3.5,native,48.499055365287596,219.79068326291548,219.7906832629155,0.04878140504925737,False,"[[-1.838, -0.037]]","[100,300)",237.15091658754702
81,Koi_Fish,True,nan,stationary,0,H1,-1.2211524964328353,"{""gs_event_time"": 1239105092.24512, ""window_s"": 2.75, ""mode"": ""native""}",10.02026538848877,10.285375595092773,12.06506633758545,True,17.34826545715332,33.8074836730957,45.161110496521,True,17.156661605834962,32.367387771606445,43.80077304840088,True,1,True,False,0.05197522420873052,0.0,,5.253,Koi_Fish,1239105092.24512,135.489501953125,1.375,1.0,2.75,native,48.73397753711816,180.6842320702702,180.6842320702702,0.03588734735048262,False,"[[-2.0, -0.412]]","[100,300)",194.99604082767058
82,Koi_Fish,True,nan,stationary,0,H1,-0.5377433055380306,"{""gs_event_time"": 1239105092.24512, ""window_s"": 2.75, ""mode"": ""native""}",10.616162300109863,12.669231414794922,16.8356840133667,False,18.134430503845216,33.331926345825195,44.94407444000244,True,24.177125930786133,36.04837608337402,44.84706268310547,True,1,True,False,0.05029826305106604,0.0,,5.105,Koi_Fish,1239105092.24512,135.489501953125,1.375,1.0,2.75,native,48.73397753711816,180.6842320702702,180.6842320702702,0.03588734735048262,False,"[[-1.338, 0.338]]","[100,300)",194.99604082767058
83,Koi_Fish,True,nan,stationary,0,H1,-0.3917638082598366,"{""gs_event_time"": 1239105092.24512, ""window_s"": 2.75, ""mode"": ""native""}",10.129650497436524,11.112979888916016,13.768697547912598,True,18.19197311401367,33.7885684967041,45.16456966400146,True,21.614933586120607,35.45625114440918,45.48027153015137,True,1,True,False,0.051540119269863904,0.0,,5.04,Koi_Fish,1239105092.24512,135.489501953125,1.375,1.0,2.75,native,48.73397753711816,180.6842320702702,180.6842320702702,0.03588734735048262,False,"[[-1.213, 0.463]]","[100,300)",194.99604082767058
84,Koi_Fish,True,nan,stationary,0,H1,-1.180643673249249,"{""gs_event_time"": 1251227879.7832, ""window_s"": 3.5, ""mode"": ""native""}",13.097977447509766,19.887365341186523,40.496728324890135,False,18.256477928161623,33.77438735961914,45.53077659606934,True,22.054216575622558,35.23298645019531,44.633681297302246,True,1,True,False,0.051975224942704346,0.0,,5.179,Koi_Fish,1251227879.7832,132.359115600586,1.75,1.0,3.5,native,49.25013476313258,168.81478226208563,168.81478226208566,0.05170289212431434,False,"[[-2.0, -0.412]]","[100,300)",182.32678073397162
85,Koi_Fish,True,nan,stationary,0,H1,-0.8532787108533757,"{""gs_event_time"": 1251227879.7832, ""window_s"": 3.5, ""mode"": ""native""}",23.164871311187746,35.40677070617676,44.84157466888428,False,18.266620635986328,33.305084228515625,45.083504104614256,True,14.983495330810547,29.27345848083496,43.44820709228516,True,1,True,False,0.04984796065796369,0.0,,4.717,Koi_Fish,1251227879.7832,132.359115600586,1.75,1.0,3.5,native,49.25013476313258,168.81478226208563,168.81478226208566,0.05170289212431434,False,"[[-1.713, -0.037]]","[100,300)",182.32678073397162
86,Koi_Fish,True,nan,stationary,0,H1,-0.9686966052305622,"{""gs_event_time"": 1251227879.7832, ""window_s"": 3.5, ""mode"": ""native""}",13.335813903808594,23.257472038269043,43.20405235290527,False,17.608430290222167,33.10471725463867,44.958816337585446,True,19.476694107055664,34.92060470581055,44.89491367340088,True,1,True,False,0.05092999295473585,0.0,,4.575,Koi_Fish,1251227879.7832,132.359115600586,1.75,1.0,3.5,native,49.25013476313258,168.81478226208563,168.81478226208566,0.05170289212431434,False,"[[-1.838, -0.162]]","[100,300)",182.32678073397162
