cell_id,family,rho_w_target,rho_w,seed,t_rel,params_json,amp_scale,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,detector_n_gates,detector_fired,gates_json,error,elapsed_s
44,broadband_burst,517.9474679231213,517.9474679231213,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",1.4273833766054806e-20,10.180043601989746,11.598539352416992,14.810177040100097,True,19.069865417480468,34.202592849731445,45.758355903625485,True,1,True,"[[-1.713, 0.088]]",,3.581
45,broadband_burst,1389.4954943731375,1389.4954943731375,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",3.8292353826716985e-20,12.50783805847168,16.3098087310791,16.909375953674317,False,17.596436309814454,33.2525749206543,44.592651176452634,True,1,True,"[[-1.838, 0.213]]",,3.342
46,broadband_burst,3727.593720314938,3727.593720314938,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",1.0272673660229711e-19,8.903176498413085,8.972633361816406,9.009426307678222,True,15.877824020385741,31.22909641265869,44.26502857208252,True,2,True,"[[-2.0, 0.213], [0.912, 1.963]]",,3.379
47,broadband_burst,10000.0,10000.0,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",2.7558458434579055e-19,99.9808391571045,99.98297119140625,99.9853401184082,True,21.13546142578125,35.19567108154297,45.04888134002685,True,1,True,"[[-2.0, 2.0]]",,3.313
48,broadband_burst,10.0,10.0,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",5.844162910812806e-22,18.840403747558593,34.24089241027832,45.73946952819824,False,18.69425277709961,34.121665954589844,45.6111026763916,True,0,False,[],,3.24
49,broadband_burst,26.826957952797258,26.826957952797258,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",1.5678111267767238e-21,19.729990577697755,35.490150451660156,45.55565853118897,False,13.431258010864259,22.934158325195312,44.63486747741699,False,1,True,"[[-2.0, -1.037]]",,3.311
50,broadband_burst,71.96856730011521,71.96856730011521,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",4.205960317596687e-21,19.82837200164795,34.9899959564209,45.02850894927978,False,19.916998863220215,33.56646728515625,45.13682250976562,True,1,True,"[[-2.0, -0.662]]",,3.256
51,broadband_burst,193.06977288832496,193.06977288832496,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",1.1283312059130006e-20,19.803797912597656,33.760154724121094,44.10537586212158,False,19.45450325012207,33.88248825073242,45.074171447753905,True,1,True,"[[-2.0, -0.662]]",,3.334
52,broadband_burst,517.9474679231213,517.9474679231213,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",3.026969381785711e-20,11.991948318481445,15.818353652954102,28.92120628356933,False,19.932540130615234,34.92591094970703,45.63765678405762,True,1,True,"[[-2.0, -0.662]]",,3.284
53,broadband_burst,1389.4954943731375,1389.4954943731375,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",8.120438032956994e-20,10.235136413574219,11.048223495483398,12.258475875854492,True,15.314045715332032,29.042107582092285,44.58034954071045,True,1,True,"[[-2.0, -0.537]]",,3.128
54,broadband_burst,3727.593720314938,3727.593720314938,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",2.1784664966843284e-19,9.13757381439209,9.16497802734375,9.178501892089844,True,15.916920280456543,30.61290740966797,44.964189720153804,True,2,True,"[[-2.0, -0.162], [0.912, 1.963]]",,3.276
55,broadband_burst,10000.0,10000.0,1500,-1.4308294898540475,"{""duration"": 0.03971559990327778}",5.844162910812806e-19,8.814422035217286,9.506711959838867,9.573642921447753,True,9.114451026916504,9.14063835144043,9.153376579284668,False,1,True,"[[-2.0, 2.0]]",,3.17
56,broadband_burst,10.0,10.0,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",3.2753902395730514e-22,18.181175422668456,33.604671478271484,44.91411437988281,False,18.74089813232422,34.230159759521484,45.19274196624756,True,0,False,[],,3.215
57,broadband_burst,26.826957952797258,26.826957952797258,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",8.786875623602879e-22,18.02144088745117,33.13117218017578,45.578398895263675,False,17.084943580627442,33.465972900390625,45.281966590881346,True,0,False,[],,3.207
58,broadband_burst,71.96856730011521,71.96856730011521,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",2.3572514289085364e-21,16.070401763916017,31.63351535797119,44.837581634521484,False,19.048553276062012,33.925758361816406,45.079376220703125,True,1,True,"[[-1.463, 0.088]]",,4.431
59,broadband_burst,193.06977288832496,193.06977288832496,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",6.323788496750053e-21,12.581711959838866,19.81319808959961,43.69002914428711,False,18.20302543640137,35.04749298095703,44.992245483398435,True,1,True,"[[-1.463, 0.213]]",,5.403
60,broadband_burst,517.9474679231213,517.9474679231213,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",1.6964800810469676e-20,10.02779541015625,10.390840530395508,12.17614631652832,True,17.9622802734375,33.75984573364258,45.12744312286377,True,1,True,"[[-1.588, 0.213]]",,5.536
61,broadband_burst,1389.4954943731375,1389.4954943731375,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",4.5511399802005064e-20,12.40060920715332,18.241357803344727,20.937086868286134,False,18.689019393920898,34.296241760253906,45.01253757476807,True,1,True,"[[-1.588, 0.213]]",,5.706
62,broadband_burst,3727.593720314938,3727.593720314938,2500,-0.6490287935614095,"{""duration"": 0.12411876194913862}",1.2209324088613346e-19,8.837909698486328,8.931268692016602,8.963158416748048,True,17.642780303955078,32.07322406768799,45.17124290466309,True,2,True,"[[-2.0, 0.338], [0.912, 1.963]]",,5.483
